Category,Name,OpenCommand,OpenArgs,DefaultTitle,DefaultInstruction
Control Panel,System Properties,sysdm.cpl,,システムのプロパティ確認,コンピューター名やドメインの設定を確認してください
Control Panel,Network Connections,ncpa.cpl,,ネットワーク接続確認,ネットワーク接続の詳細を確認してください
Control Panel,Network and Sharing Center,control,/name Microsoft.NetworkAndSharingCenter,ネットワーク共有センター確認,ネットワークと共有センターの設定を確認してください
Control Panel,Programs and Features,appwiz.cpl,,プログラムと機能確認,インストール済みプログラムを確認してください
Control Panel,Power Options,powercfg.cpl,,電源オプション確認,電源プランの設定を確認してください
Control Panel,User Accounts,control,/name Microsoft.UserAccounts,ユーザーアカウント確認,ユーザーアカウントの設定を確認してください
Control Panel,Credential Manager,control,/name Microsoft.CredentialManager,資格情報マネージャー確認,保存された資格情報を確認してください
Control Panel,Sound (Classic),mmsys.cpl,,サウンドデバイス確認,再生/録音デバイスとサウンド設定を確認してください
Control Panel,Mouse (Classic),main.cpl,,マウスプロパティ確認,マウスの詳細プロパティ設定を確認してください
Control Panel,Keyboard (Classic),control,keyboard,キーボードプロパティ確認,キーボードの速度とハードウェア設定を確認してください
Control Panel,Color Management,colorcpl,,色の管理確認,ディスプレイの色管理設定を確認してください
Control Panel,Date and Time (Classic),timedate.cpl,,日付と時刻(クラシック)確認,タイムゾーンやNTPサーバーの設定を確認してください
Control Panel,Region (Classic),intl.cpl,,地域設定(クラシック)確認,日付・通貨・単位の表示形式を確認してください
Control Panel,Folder Options,control,/name Microsoft.FolderOptions,フォルダーオプション確認,エクスプローラーの表示設定を確認してください
Control Panel,File History,control,/name Microsoft.FileHistory,ファイル履歴確認,ファイル履歴の設定を確認してください
Control Panel,Devices and Printers,control,printers,デバイスとプリンター確認,デバイスとプリンターの一覧を確認してください
Control Panel,Internet Options,inetcpl.cpl,,インターネットオプション確認,接続・セキュリティ・証明書の設定を確認してください
System Tools,Command Prompt,cmd,,コマンドプロンプト操作,コマンドプロンプトで指定されたコマンドを実行してください
System Tools,PowerShell,powershell,,PowerShell操作,PowerShellで指定されたコマンドを実行してください
System Tools,Registry Editor,regedit,,レジストリ確認,レジストリエディターで設定値を確認してください
System Tools,Task Manager,taskmgr,,タスクマネージャー確認,タスクマネージャーでプロセスを確認してください
System Tools,Task Scheduler,taskschd.msc,,タスクスケジューラ確認,スケジュールされたタスクの設定を確認してください
System Tools,System Information,msinfo32,,システム情報詳細確認,システム情報の詳細を確認してください
System Tools,DirectX Diagnostic,dxdiag,,DirectX診断確認,DirectX診断ツールでシステム情報を確認してください
System Tools,Remote Desktop,mstsc,,リモートデスクトップ確認,リモートデスクトップ接続の設定を確認してください
System Tools,Windows Features,optionalfeatures,,Windows機能確認,Windowsの機能の有効化状態を確認してください
System Tools,System Properties (Advanced),systempropertiesadvanced,,システム詳細設定確認,パフォーマンスや環境変数などの詳細設定を確認してください
System Tools,System Properties (Performance),systempropertiesperformance,,パフォーマンスオプション確認,視覚効果と仮想メモリの設定を確認してください
System Tools,System Properties (Remote),systempropertiesremote,,リモート設定確認,リモートデスクトップとリモートアシスタンスの設定を確認してください
System Tools,System Properties (Protection),systempropertiesprotection,,システム保護確認,システムの復元ポイントと保護設定を確認してください
System Tools,Environment Variables,rundll32,"sysdm.cpl,EditEnvironmentVariables",環境変数確認,システムとユーザーの環境変数を確認してください
System Tools,UAC Settings,useraccountcontrolsettings,,UAC設定確認,ユーザーアカウント制御の通知レベルを確認してください
System Tools,Local Security Policy,secpol.msc,,ローカルセキュリティポリシー確認,セキュリティポリシーの設定を確認してください
System Tools,Local Users and Groups,lusrmgr.msc,,ローカルユーザーとグループ確認,ローカルユーザーアカウントとグループを確認してください
System Tools,Windows Firewall Advanced,wf.msc,,ファイアウォール詳細確認,セキュリティが強化されたWindowsファイアウォールを確認してください
System Tools,Computer Certificates,certlm.msc,,コンピューター証明書確認,ローカルコンピューターの証明書を確認してください
System Tools,User Certificates,certmgr.msc,,ユーザー証明書確認,現在のユーザーの証明書を確認してください
System Tools,Shared Folders,fsmgmt.msc,,共有フォルダー確認,共有フォルダーとセッションを確認してください
System Tools,Reliability Monitor,perfmon,/rel,信頼性モニター確認,システムの安定性と問題の履歴を確認してください
System Tools,Disk Cleanup,cleanmgr,,ディスククリーンアップ確認,ディスクの不要ファイル削除状況を確認してください
System Tools,Drive Optimizer,dfrgui,,ドライブ最適化確認,ドライブの最適化と断片化状態を確認してください
System Tools,ODBC Data Sources,odbcad32,,ODBCデータソース確認,ODBCデータソースの設定を確認してください
System Tools,Memory Diagnostic,mdsched,,メモリ診断確認,Windowsメモリ診断ツールを確認してください
System Tools,Screen Saver Settings,rundll32,"shell32.dll,Control_RunDLL desk.cpl,,1",スクリーンセーバー確認,スクリーンセーバーの設定を確認してください
Applications,Google Chrome,chrome,,Chrome確認,Google Chromeブラウザーを開いてください
Applications,Microsoft Edge,msedge,,Edge確認,Microsoft Edgeブラウザーを開いてください
